# base64 English<TAB>base64 Japanese
SW4gdGhlIGFmdGVybm9vbg==	5Y2I5b6M44Gn
QmFieSBndWVzcyB3aGF0IG1lIGFuZCBJenp5IGFyZSBkb2luZw==	6LWk44Gh44KD44KT44Gv56eB44KS5o6o5ris44GX44CBSXp6eeOBr+S9leOCkuOChOOBo+OBpuOBhOOCiw==
QW4gQVJDQURF	5bu656+J6Kit6KiI
U2hlIGZvdW5kIHRoaXMgaHVnZSBvbGQgb25lIGRvd24gYnkgdGhlIHdhdGVy	5b285aWz44Gv5rC044Gn44GT44Gu5beo5aSn44Gq5Y+k44GE44KC44Gu44KS6KaL44Gk44GR44G+44GX44Gf
SXRzIGFsbCBuZW9uIGFuZCBpdCBzbWVsbHMgbGlrZSAxOTk2	44Gd44Gu44GZ44G544Gm44Gu44ON44Kq44Oz44GoMTk5NuOBruOCiOOBhuOBquWMguOBhA==
SnVzdCB1cyB0d28=	56eB44Gf44GhMg==
V2h5	44Gq44GcPw==
aGloaQ==	44Ot44Kw44Kk44Oz
QmFieSBndWVzcyB3aGF0IHdlJ3JlIGRvaW5n	6LWk44Gh44KD44KT44Gv56eB44Gf44Gh44GM44KE44Gj44Gm44GE44KL44GT44Go44KS5o6o5ris44GX44Gm44GE44G+44GZ
TWF0aCBmb3VuZCB0aGlzIGh1Z2Ugb2xkIG9uZSBkb3duIGJ5IHRoZSB3YXRlcg==	5pWw5a2m44Gv44CB5rC044Gr44KI44Gj44Gm44GT44Gu5beo5aSn44Gq5Y+k44GE44KC44Gu44KS55m66KaL44GX44G+44GX44Gf
SXp6eSBpcyBhbHJlYWR5IHRhbGtpbmcgdHJhc2ggYWJvdXQgYWlyIGhvY2tleQ==	SXp6eeOBr+OBmeOBp+OBq+epuuawl+ODm+ODg+OCseODvOOBq+OBpOOBhOOBpuOCtOODn+OCkuipseOBl+OBpuOBhOOBvuOBmQ==
MiBob3VycyBsYXRlci4uLg==	MuaZgumWk+W+jC4uLg==
SSBXT04gU09NRVRISU5H	44Kk44Kq44Oz5Lqk5o+b
NDAgZXVyb3MgaW4gdGhlIGNsYXcgbWFjaGluZSBmb3IgYSAyIGV1cm8gZHVjaw==	MuODpuODvOODreODgOODg+OCr+OBruOBn+OCgeOBrueIquODnuOCt+ODs+OBrjQw44Om44O844Ot
Q29tcGxldGVseSB3b3J0aCBpdA==	5a6M5YWo44Gr5L6h5YCk44GM44GC44KL
SGUncyBjb21pbmcgaG9tZSB3aXRoIG1l	44KP44Gf44GX44Go5LiA57eS44Gr5biw44Gj44Gm44GN44Gf
T2theSB3ZSdyZSBnb2luZyB0byBnZXQgZm9vZCBhZnRlciB0aGlz	44GV44Gm44CB44GT44Gu5b6M44CB6aOf44G554mp44KS5omL44Gr5YWl44KM44KL44Gk44KC44KK44Gn44GZ
SSdsbCB0ZXh0IHlvdSB3aGVuIHdlJ3JlIGJhY2s=	5oi744Gj44Gm44GN44Gf44Go44GN44Gr44OG44Kt44K544OI44KS44OG44Kt44K544OI5YyW44GX44G+44GZ
PDM=	PDM+
RWFybHkgbW9ybmluZw==	5pep5pyd5Za25qWt
